Date,Noncommercial Long,Noncommercial Short
1999-06-22,227.0,40.0
1999-06-29,517.0,251.0
1999-07-06,510.0,348.0
1999-07-13,1293.0,325.0
1999-07-20,1663.0,450.0
1999-07-27,1637.0,605.0
1999-08-03,2074.0,750.0
1999-08-10,2593.0,1138.0
1999-08-17,2491.0,1255.0
1999-08-24,2852.0,1335.0
1999-08-31,2892.0,1560.0
1999-09-07,3387.0,1535.0
1999-09-14,1969.0,247.0
1999-09-21,1103.0,365.0
1999-09-28,1224.0,945.0
1999-10-05,1115.0,1025.0
1999-10-12,1954.0,304.0
1999-10-19,1818.0,775.0
1999-10-26,2008.0,935.0
1999-11-02,2283.0,755.0
1999-11-09,2395.0,1127.0
1999-11-16,3010.0,1420.0
1999-11-23,2907.0,1812.0
1999-11-30,3563.0,1737.0
1999-12-07,7501.0,1557.0
1999-12-14,4795.0,704.0
1999-12-21,3993.0,741.0
1999-12-28,4427.0,735.0
2000-01-04,4606.0,1099.0
2000-01-11,5158.0,945.0
2000-01-18,3000.0,749.0
2000-01-25,1310.0,1890.0
2000-02-01,1040.0,1701.0
2000-02-08,3682.0,2550.0
2000-02-15,2641.0,2591.0
2000-02-22,1432.0,4364.0
2000-02-29,2105.0,3762.0
2000-03-07,2914.0,4418.0
2000-03-14,3490.0,5561.0
2000-03-21,2728.0,4122.0
2000-03-28,3984.0,2063.0
2000-04-04,4738.0,5407.0
2000-04-11,5557.0,9266.0
2000-04-18,6830.0,6983.0
2000-04-25,7757.0,8249.0
2000-05-02,6414.0,10008.0
2000-05-09,8201.0,12138.0
2000-05-16,8349.0,13079.0
2000-05-23,9322.0,13311.0
2000-05-30,10993.0,14864.0
2000-06-06,13516.0,15148.0
2000-06-13,8611.0,16879.0
2000-06-20,2161.0,3386.0
2000-06-27,3503.0,6457.0
2000-07-05,4273.0,6741.0
2000-07-11,4897.0,5797.0
2000-07-18,6725.0,10451.0
2000-07-25,6199.0,11791.0
2000-08-01,7134.0,13641.0
2000-08-08,6970.0,13958.0
2000-08-15,8271.0,14590.0
2000-08-22,8955.0,15867.0
2000-08-29,6870.0,17039.0
2000-09-05,8004.0,16706.0
2000-09-12,8034.0,20968.0
2000-09-19,4344.0,9192.0
2000-09-26,3690.0,8366.0
2000-10-03,6316.0,11890.0
2000-10-10,6414.0,11687.0
2000-10-17,10929.0,13606.0
2000-10-24,8840.0,16877.0
2000-10-31,13988.0,15661.0
2000-11-07,14060.0,16301.0
2000-11-14,13257.0,19559.0
2000-11-21,12960.0,19916.0
2000-11-28,14076.0,19330.0
2000-12-05,20562.0,18756.0
2000-12-12,16496.0,20572.0
2000-12-19,13281.0,5477.0
2000-12-26,22512.0,7220.0
2001-01-02,19054.0,8950.0
2001-01-09,20901.0,10299.0
2001-01-16,20013.0,9447.0
2001-01-23,25427.0,9390.0
2001-01-30,15733.0,13876.0
2001-02-06,17765.0,17163.0
2001-02-13,23542.0,19894.0
2001-02-20,25443.0,20965.0
2001-02-27,33261.0,24416.0
2001-03-06,37894.0,22532.0
2001-03-13,38010.0,30441.0
2001-03-20,14262.0,22716.0
2001-03-27,22792.0,23276.0
2001-04-03,31001.0,21910.0
2001-04-10,29228.0,24051.0
2001-04-17,26536.0,27632.0
2001-04-24,25047.0,29682.0
2001-05-01,26623.0,33857.0
2001-05-08,20544.0,28182.0
2001-05-15,25345.0,29264.0
2001-05-22,12597.0,36187.0
2001-05-29,14290.0,35129.0
2001-06-05,17805.0,33724.0
2001-06-12,14484.0,37649.0
2001-06-19,13256.0,13399.0
2001-06-26,16278.0,10503.0
2001-07-03,13238.0,10008.0
2001-07-10,15290.0,16329.0
2001-07-17,20761.0,16360.0
2001-07-24,24850.0,16197.0
2001-07-31,22799.0,14550.0
2001-08-07,23648.0,17769.0
2001-08-14,33509.0,21975.0
2001-08-21,37207.0,24247.0
2001-08-28,37757.0,30647.0
2001-09-04,38116.0,33495.0
2001-09-10,46627.0,32470.0
2001-09-18,49594.0,36628.0
2001-09-25,12500.0,8130.0
2001-10-02,8915.0,9561.0
2001-10-09,11400.0,10893.0
2001-10-16,12232.0,14454.0
2001-10-23,19411.0,22180.0
2001-10-30,21052.0,22225.0
2001-11-06,13661.0,23672.0
2001-11-13,21431.0,27696.0
2001-11-20,16980.0,28011.0
2001-11-27,16303.0,29634.0
2001-12-04,19703.0,29580.0
2001-12-11,22694.0,29111.0
2001-12-18,23108.0,31022.0
2001-12-21,19442.0,30321.0
2001-12-28,11061.0,14117.0
2002-01-08,12754.0,14854.0
2002-01-15,16595.0,16749.0
2002-01-22,17333.0,23897.0
2002-01-29,17084.0,30731.0
2002-02-05,18681.0,28913.0
2002-02-12,23102.0,30205.0
2002-02-19,24318.0,33522.0
